cosmic_age_Gyr,exponent,normalized_delta_cos
2.951209226666386,2,1.02236496483458
3.019951720402016,2,1.0220256041758429
3.0902954325135905,2,1.021686412458555
3.1622776601683795,2,1.0213473895705971
3.2359365692962827,2,1.0210085353999443
3.311311214825911,2,1.0206698498346634
3.3884415613920256,2,1.0203313327629153
3.4673685045253166,2,1.019992984072952
3.548133892335755,2,1.0196548036531194
3.630780547701014,2,1.019316791391855
3.715352290971726,2,1.0189789471776902
3.8018939632056115,2,1.018641270899247
3.890451449942806,2,1.0183037624452407
3.9810717055349722,2,1.0179664217044782
4.073802778041127,2,1.0176292485658591
4.168693834703354,2,1.017292242918375
4.265795188015926,2,1.0169554046511085
4.36515832240166,2,1.0166187336532344
4.466835921509632,2,1.0162822298140202
4.570881896148751,2,1.0159458930228231
4.677351412871983,2,1.015609723169094
4.786300923226384,2,1.0152737201423734
4.8977881936844625,2,1.014937883832294
5.011872336272724,2,1.0146022141285793
5.1286138399136485,2,1.0142667109210453
5.248074602497725,2,1.0139313740995974
5.370317963702527,2,1.0135962035542327
5.495408738576245,2,1.0132611991750398
5.62341325190349,2,1.0129263608521963
5.7543993733715695,2,1.0125916884759723
5.88843655355589,2,1.0122571819367283
6.025595860743578,2,1.0119228411249142
6.165950018614822,2,1.0115886659310713
6.309573444801933,2,1.011254656245831
6.4565422903465555,2,1.0109208119599151
6.606934480075961,2,1.0105871329641358
6.760829753919819,2,1.0102536191493943
6.918309709189364,2,1.0099202704066828
7.079457843841379,2,1.0095870866270835
7.244359600749901,2,1.0092540677017678
7.413102413009175,2,1.0089212135219974
7.5857757502918375,2,1.0085885239791226
7.762471166286917,2,1.008255998964585
7.943282347242816,2,1.0079236383699137
8.128305161640993,2,1.0075914420867291
8.31763771102671,2,1.007259410006739
8.511380382023766,2,1.0069275420217416
8.709635899560807,2,1.006595838023624
8.912509381337456,2,1.0062642979043628
9.120108393559097,2,1.005932921556022
9.33254300796991,2,1.0056017088707563
9.549925860214358,2,1.0052706597408074
9.772372209558107,2,1.004939774058507
10.0,2,1.0046090517162753
10.232929922807541,2,1.0042784926066202
10.471285480508996,2,1.003948096622139
10.715193052376065,2,1.0036178636555158
10.964781961431852,2,1.0032877935995248
11.220184543019636,2,1.0029578863470268
11.481536214968829,2,1.002628141790972
11.748975549395297,2,1.0022985598243972
12.02264434617413,2,1.001969140340428
12.302687708123818,2,1.0016398832322775
12.589254117941675,2,1.0013107883932475
12.882495516931343,2,1.0009818557167252
13.182567385564074,2,1.000653085096187
13.48962882591654,2,1.000324476425197
13.803842646028853,2,0.9999960295974057
14.125375446227547,2,0.9996677445065512
14.454397707459272,2,0.9993396210464587
14.791083881682072,2,0.999011659111041
15.13561248436208,2,0.9986838585942974
15.488166189124811,2,0.9983562193903145
15.848931924611133,2,0.9980287413932656
16.218100973589298,2,0.9977014244974105
16.595869074375607,2,0.9973742685970961
16.98243652461744,2,0.9970472735867556
17.378008287493753,2,0.996720439360909
17.78279410038923,2,0.9963937658141626
