target,z_abs_catalogue,line,rest_AA,f,observed_AA_catalogue,metadata_eligible,native_pixels,valid_pixels,valid_fraction,longest_invalid_run_pixels,actual_log_grid_spacing_km_s,native_CNR,sideband_median_flux,core_EW_rest_AA,core_EW_diagonal_error_AA,core_EW_diagonal_SNR,full_EW_rest_AA,full_EW_diagonal_error_AA,core_to_full_EW_ratio,core_low_flux_pixels,core_valid_pixels,core_low_flux_fraction,core_resolved_unsaturated_detection_pixels,core_AOD_integral_cm2,full_window_edge_EW_diagonal_SNR,broader_water_band_warning,strong_sky_feature_warning,reported_instrument_artifact_warning,nearest_nominal_R,nearest_arc_R,median_contributing_extracted_pixels,detected_primary_candidate,detected_strict_candidate,rejections
J010311+131617,2.309,2249,2249.875472,0.00182,7444.837936848001,True,200,200,1.0,0,2.4999895761823456,52.99410362741375,0.9882731637285784,0.0834512268243239,0.0030745943549334476,27.14219086833986,0.10407980204841874,0.005020675427441789,0.8018003991350958,0,80,0.0,16,1216713257673096.5,4.837595873022887,True,False,False,51976.14111111111,53633.579462736336,2.0,True,False,[]
J010311+131617,2.309,2260,2260.779108,0.00244,7480.918068372001,True,200,200,1.0,0,2.4999895761823456,49.02570007429732,0.9832275506801705,0.11179913548760045,0.0037989955780504603,29.428603742932676,0.13675012220745078,0.0057750794813758565,0.817543221774972,0,80,0.0,16,1303657704097579.0,6.938612884587037,False,False,False,51976.14111111111,53633.579462736336,3.0,True,True,[]
J010311+131617,2.309,2344,2344.212747,0.114,7756.999979823,True,200,200,1.0,0,2.4999895761823456,49.142879397823606,0.9799205002134681,0.5406245168244381,0.003007291187020448,179.77125698960864,0.596900049346203,0.0057630678837839264,0.9057203419845506,18,80,0.225,23,286798593923164.25,2.3490980424220544,False,False,False,51976.14111111111,53633.579462736336,2.0,True,True,[]
J010311+131617,2.309,2374,2374.460064,0.0313,7857.088351776,True,200,200,1.0,0,2.4999895761823456,44.90627439313902,0.9827219756225021,0.3969673658573877,0.003939969388279469,100.75392134727674,0.45855755200267395,0.00644361204331118,0.8656871184951564,10,80,0.125,31,643357323166115.6,7.413235998750513,True,False,False,51976.14111111111,53633.579462736336,2.0,True,False,[]
J010311+131617,2.309,2382,2382.763995,0.32,7884.566059455,True,200,200,1.0,0,2.4999895761823456,46.63308291344825,0.981766297843309,0.6455634261319105,0.00326211302439093,197.89732032734943,0.6817280321287756,0.006020215983373076,0.9469515638311998,26,80,0.325,15,136296866059244.8,6.080279334128047,True,False,False,51976.14111111111,53633.579462736336,4.0,True,False,[]
J010311+131617,2.309,2586,2586.649312,0.0691,8559.222573408,False,200,0,0.0,200,2.4999895761823456,,,0.0,0.0,,0.0,0.0,,0,0,,0,0.0,,True,False,False,0.0,0.0,,False,False,"['catalogue_coverage_gap', 'native_valid_fraction_below_0p98', 'native_CNR_below_15', 'core_EW_diagonal_detection_proxy_below_5']"
J010311+131617,2.309,2600,2600.172114,0.239,8603.969525226,False,200,0,0.0,200,2.4999895761823456,,,0.0,0.0,,0.0,0.0,,0,0,,0,0.0,,True,False,False,0.0,0.0,,False,False,"['catalogue_coverage_gap', 'native_valid_fraction_below_0p98', 'native_CNR_below_15', 'core_EW_diagonal_detection_proxy_below_5']"
J010516-184642,2.37,1608,1608.450852,0.0577,5420.47937124,False,200,200,1.0,0,2.4999895761823456,13.721486155303559,0.9750077435394158,0.1105895553326563,0.008526191718883516,12.970568687509848,0.12349069203950593,0.013653620149180642,0.8955294808557521,4,80,0.05,5,138099043045497.75,2.2703628617710887,False,False,False,47817.7,49455.23114645086,2.0,False,False,"['low_catalogue_CNR_proxy', 'native_CNR_below_15']"
J010516-184642,2.37,1611,1611.200369,0.00138,5429.74524353,False,200,200,1.0,0,2.4999895761823456,13.503089063680466,1.0000776858017657,0.014585789809058666,0.008901652191332814,1.6385486082303093,0.024031961427958118,0.01411274043193337,0.606932973522917,0,80,0.0,0,544032749664111.2,-0.44517181350444923,False,False,False,47817.7,49455.23114645086,2.0,False,False,"['low_catalogue_CNR_proxy', 'native_CNR_below_15', 'core_EW_diagonal_detection_proxy_below_5']"
J010516-184642,2.37,2249,2249.875472,0.00182,7582.080340640001,False,200,200,1.0,0,2.4999895761823456,31.637722149084425,0.9847107875050018,0.06536132974128125,0.005300634772211516,12.330849520879436,0.09813894639811399,0.008450664688110808,0.6660080644857764,0,80,0.0,12,848602243945188.1,-0.24952983855891933,False,False,False,47817.7,48887.616804506244,6.0,False,False,['conservative_telluric_band']
